id,image_url,image_url_small,image_url_cropped,name,upscaled_image
19254117,https://images.ygoprodeck.com/images/cards/19254117.jpg,https://images.ygoprodeck.com/images/cards_small/19254117.jpg,https://images.ygoprodeck.com/images/cards_cropped/19254117.jpg,Rise to Full Height, 
38044854,https://images.ygoprodeck.com/images/cards/38044854.jpg,https://images.ygoprodeck.com/images/cards_small/38044854.jpg,https://images.ygoprodeck.com/images/cards_cropped/38044854.jpg,Rise-Rank-Up-Magic Raidraptor's Force, 
25788011,https://images.ygoprodeck.com/images/cards/25788011.jpg,https://images.ygoprodeck.com/images/cards_small/25788011.jpg,https://images.ygoprodeck.com/images/cards_cropped/25788011.jpg,Risebell the Star Adjuster, 
14812659,https://images.ygoprodeck.com/images/cards/14812659.jpg,https://images.ygoprodeck.com/images/cards_small/14812659.jpg,https://images.ygoprodeck.com/images/cards_cropped/14812659.jpg,Risebell the Star Psycher, 
45103815,https://images.ygoprodeck.com/images/cards/45103815.jpg,https://images.ygoprodeck.com/images/cards_small/45103815.jpg,https://images.ygoprodeck.com/images/cards_cropped/45103815.jpg,Risebell the Summoner, 
45778932,https://images.ygoprodeck.com/images/cards/45778932.jpg,https://images.ygoprodeck.com/images/cards_small/45778932.jpg,https://images.ygoprodeck.com/images/cards_cropped/45778932.jpg,Rising Air Current, 
78211862,https://images.ygoprodeck.com/images/cards/78211862.jpg,https://images.ygoprodeck.com/images/cards_small/78211862.jpg,https://images.ygoprodeck.com/images/cards_cropped/78211862.jpg,Rising Energy, 
66947913,https://images.ygoprodeck.com/images/cards/66947913.jpg,https://images.ygoprodeck.com/images/cards_small/66947913.jpg,https://images.ygoprodeck.com/images/cards_cropped/66947913.jpg,Rising Fire, 
94807487,https://images.ygoprodeck.com/images/cards/94807487.jpg,https://images.ygoprodeck.com/images/cards_small/94807487.jpg,https://images.ygoprodeck.com/images/cards_cropped/94807487.jpg,Rising Sun Slash,./Images Database/94807487.png
3285551,https://images.ygoprodeck.com/images/cards/3285551.jpg,https://images.ygoprodeck.com/images/cards_small/3285551.jpg,https://images.ygoprodeck.com/images/cards_cropped/3285551.jpg,Rite of Aramesir, 
30450531,https://images.ygoprodeck.com/images/cards/30450531.jpg,https://images.ygoprodeck.com/images/cards_small/30450531.jpg,https://images.ygoprodeck.com/images/cards_cropped/30450531.jpg,Rite of Spirit, 
57815601,https://images.ygoprodeck.com/images/cards/57815601.jpg,https://images.ygoprodeck.com/images/cards_small/57815601.jpg,https://images.ygoprodeck.com/images/cards_cropped/57815601.jpg,Ritual Beast Ambush, 
22501005,https://images.ygoprodeck.com/images/cards/22501005.jpg,https://images.ygoprodeck.com/images/cards_small/22501005.jpg,https://images.ygoprodeck.com/images/cards_cropped/22501005.jpg,Ritual Beast Inheritance, 
8321183,https://images.ygoprodeck.com/images/cards/8321183.jpg,https://images.ygoprodeck.com/images/cards_small/8321183.jpg,https://images.ygoprodeck.com/images/cards_cropped/8321183.jpg,Ritual Beast Return, 
11556339,https://images.ygoprodeck.com/images/cards/11556339.jpg,https://images.ygoprodeck.com/images/cards_small/11556339.jpg,https://images.ygoprodeck.com/images/cards_cropped/11556339.jpg,Ritual Beast Steeds, 
14513016,https://images.ygoprodeck.com/images/cards/14513016.jpg,https://images.ygoprodeck.com/images/cards_small/14513016.jpg,https://images.ygoprodeck.com/images/cards_cropped/14513016.jpg,Ritual Beast Tamer Elder, 
87118301,https://images.ygoprodeck.com/images/cards/87118301.jpg,https://images.ygoprodeck.com/images/cards_small/87118301.jpg,https://images.ygoprodeck.com/images/cards_cropped/87118301.jpg,Ritual Beast Tamer Lara, 
40907115,https://images.ygoprodeck.com/images/cards/40907115.jpg,https://images.ygoprodeck.com/images/cards_small/40907115.jpg,https://images.ygoprodeck.com/images/cards_cropped/40907115.jpg,Ritual Beast Tamer Wen, 
57777714,https://images.ygoprodeck.com/images/cards/57777714.jpg,https://images.ygoprodeck.com/images/cards_small/57777714.jpg,https://images.ygoprodeck.com/images/cards_cropped/57777714.jpg,Ritual Beast Tamer Zeframpilica, 
23166823,https://images.ygoprodeck.com/images/cards/23166823.jpg,https://images.ygoprodeck.com/images/cards_small/23166823.jpg,https://images.ygoprodeck.com/images/cards_cropped/23166823.jpg,Ritual Beast Tamer Zefrawendi, 
86274272,https://images.ygoprodeck.com/images/cards/86274272.jpg,https://images.ygoprodeck.com/images/cards_small/86274272.jpg,https://images.ygoprodeck.com/images/cards_cropped/86274272.jpg,Ritual Beast Ulti-Apelio, 
